i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,5500.0,118.0,2.2,9.18
Nuclear-SMR,2023,5500.0,118.0,2.2,9.18
Nuclear-SMR,2024,5500.0,118.0,2.2,9.18
Nuclear-SMR,2025,5500.0,118.0,2.2,9.18
Nuclear-SMR,2026,5500.0,118.0,2.2,9.18
Nuclear-SMR,2027,5500.0,118.0,2.2,9.18
Nuclear-SMR,2028,5500.0,118.0,2.2,9.18
Nuclear-SMR,2029,5500.0,118.0,2.2,9.18
Nuclear-SMR,2030,5523.5350665546375,113.352545713643,2.1133525472035135,9.18
