t,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,4.683875,4.711564,4.274324,4.662090,5.211405,4.137874,3.986708,4.348851,4.172502
2011,1.816973,3.561499,3.232512,3.611184,3.674279,2.927836,3.128783,3.072885,2.283110
2012,0.608249,2.046157,1.835802,2.023827,2.358645,1.657890,1.846136,1.711282,0.855822
2013,2.752758,2.919934,2.717595,2.958825,2.911482,2.513759,2.646788,2.527453,1.493478
2014,3.290932,3.226641,3.473380,3.696553,3.347306,2.970546,3.142848,2.832533,1.899154
2015,1.075644,1.335855,1.425834,1.745415,1.933618,1.389862,1.571987,1.280897,0.350384
2016,0.754709,1.178244,1.317182,1.120629,1.462783,1.059535,1.171321,0.798267,0.154122
2017,1.026077,1.563513,1.772830,1.783921,1.739926,1.557646,1.649825,1.303398,0.634367
2018,1.135938,1.494356,1.570148,1.592753,1.526519,1.430504,1.569901,1.231905,0.575444
2019,1.046547,0.989432,0.871149,0.883062,1.038922,0.898527,0.937047,0.538670,0.198677
2020,0.582664,0.537068,0.455374,0.539249,0.676152,0.555077,0.622532,0.269587,-0.114263
2021,2.557157,2.060218,2.207226,2.345262,2.666628,2.555234,2.531615,2.261831,1.958028
2022,2.984533,2.443258,3.035049,3.401068,3.716464,3.666597,3.614054,3.099996,2.729752
2023,0.616925,0.568648,0.482150,0.570957,0.715910,0.587715,0.659137,0.285438,-0.120982
2024,-0.505133,-0.041746,0.202311,0.174344,0.557962,0.323449,0.391092,-0.207917,-0.576337
2025,-0.229539,0.347671,0.602813,0.572750,0.772238,0.692976,0.749541,0.205100,-0.115501
2026,0.116280,0.431180,0.613034,0.607796,0.782696,0.694058,0.728853,0.230798,-0.054895
2027,0.025300,0.312819,0.540627,0.519140,0.799770,0.615471,0.672565,0.178473,-0.086562
2028,-0.005586,0.295013,0.581150,0.597140,0.796321,0.707458,0.769714,0.304707,-0.041584
2029,0.067221,0.342341,0.669987,0.689225,1.001846,0.822394,0.892482,0.459622,0.070685
2030,0.201912,0.407551,0.746032,0.790169,1.023289,0.956262,1.043240,0.616757,0.206840
2031,0.270865,0.511255,0.851821,0.911957,1.103114,1.056561,1.155028,0.763157,0.321341
2032,0.383170,0.615433,1.019251,1.080553,1.263653,1.236409,1.392116,1.014594,0.526482
2033,0.667851,0.857661,1.250259,1.359765,1.550552,1.509990,1.683922,1.402480,0.878486
2034,0.851366,1.009215,1.397943,1.597190,1.725658,1.689997,1.869690,1.640171,1.045899
2035,0.910406,1.079863,1.492374,1.688441,1.819346,1.788715,1.911618,1.722907,1.135310
2036,0.978942,1.117161,1.541326,1.757318,1.874950,1.811399,1.912304,1.746874,1.165524
2037,0.991961,1.155582,1.536159,1.773991,1.942654,1.834123,1.941018,1.796241,1.212068
2038,0.941332,1.140687,1.487182,1.777185,1.946024,1.834754,1.955180,1.836029,1.255656
2039,0.903317,1.106120,1.483093,1.738510,1.942899,1.813399,1.955097,1.852664,1.292380
2040,0.902075,1.076208,1.465823,1.783399,1.951433,1.816640,1.997464,1.929209,1.386383
2041,0.940136,1.079738,1.485430,1.852105,1.952438,1.837854,2.062283,2.034826,1.503686
2042,0.974734,1.120315,1.518709,1.936311,1.987258,1.858898,2.136794,2.110740,1.655205
2043,1.000147,1.132037,1.529437,1.962805,2.038861,1.936040,2.223861,2.199057,1.697789
2044,1.041327,1.123951,1.519776,1.987807,2.050695,1.964234,2.287435,2.219031,1.774132
2045,1.086377,1.099421,1.520266,1.967755,2.027370,1.974527,2.312392,2.234710,1.797817
2046,1.034779,1.143505,1.528193,2.025646,2.053118,2.019305,2.355159,2.302125,1.933259
2047,1.059170,1.127624,1.514791,1.996091,2.015636,2.018503,2.409184,2.347354,1.939243
2048,0.948902,1.098686,1.495751,1.948797,1.953655,1.965800,2.405515,2.275422,1.943456
2049,0.957797,1.069420,1.466790,1.903059,1.896208,1.856363,2.375852,2.194083,1.949716
2050,0.950400,1.008986,1.448063,1.910854,1.828244,1.769984,2.347436,2.211597,1.936905
